2015-09-17 10:33:05,267 [37] INFO  Umbraco.Core.ApplicationContext - [P4956/T36/D4] ApplicationUrl: http://localhost:80/umbraco (UmbracoModule request)
2015-09-17 10:33:05,380 [37] INFO  umbraco.content - [P4956/T36/D4] Load Xml from file...
2015-09-17 10:33:05,382 [37] INFO  umbraco.content - [P4956/T36/D4] Loaded Xml from file.
2015-09-17 10:33:05,553 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2015-09-17 10:33:05,556 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 23 (took 1ms)
2015-09-17 10:33:06,255 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
2015-09-17 10:33:06,258 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 44 (took 2ms)
2015-09-17 10:33:06,904 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Starting resolution types of umbraco.cms.businesslogic.macro.IMacroEngine
2015-09-17 10:33:06,906 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Completed resolution of types of umbraco.cms.businesslogic.macro.IMacroEngine, found 2 (took 1ms)
2015-09-17 10:33:16,951 [37] INFO  Umbraco.Core.Security.UmbracoMembershipProviderBase - [P4956/T36/D4] Login attempt succeeded for username admin from IP address ::1
2015-09-17 10:33:17,029 [37] INFO  Umbraco.Web.Security.WebSecurity - [P4956/T36/D4] User Id: 0 logged in
2015-09-17 10:33:17,453 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Starting resolution types of Umbraco.Web.Trees.TreeController
2015-09-17 10:33:17,455 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Completed resolution of types of Umbraco.Web.Trees.TreeController, found 4 (took 1ms)
2015-09-17 10:33:17,690 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Starting resolution types of umbraco.interfaces.ITree
2015-09-17 10:33:17,692 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Completed resolution of types of umbraco.interfaces.ITree, found 35 (took 2ms)
2015-09-17 10:33:17,714 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Starting resolution types of umbraco.interfaces.IApplication
